Nom,Poste,Age,Date de naissance,Taille,Poids,JIFF,Contrat,Club
Arthur JOLY,Pilier,27 ans,20/02/1988,189,125,JIFF,PRO,Agen
Bernard N'NOMO,Pilier,35 ans,06/08/1980,181,108,NONJIFF,PRO,Agen
Dave RYAN,Pilier,29 ans,21/04/1986,183,116,NONJIFF,PRO,Agen
Giorgi TETRASHVILI,Pilier,22 ans,31/08/1993,177,116,ESPOIR,ESPOIR,Agen
Jason MARSHALL,Pilier,30 ans,05/02/1985,190,118,NONJIFF,PRO,Agen
Nicolas CHOCOU,Pilier,21 ans,27/03/1994,182,118,ESPOIR,ESPOIR,Agen
Quentin BÉTHUNE,Pilier,20 ans,25/09/1995,183,103,ESPOIR,ESPOIR,Agen
Ruaan DU PREEZ,Pilier,31 ans,20/03/1984,186,123,NONJIFF,PRO,Agen
Viliamu AFATIA,Pilier,25 ans,24/05/1990,189,124,NONJIFF,PRO,Agen
Charly MORLAY,Talonneur,20 ans,09/05/1995,170,92,ESPOIR,ESPOIR,Agen
Florian DUFOUR,Talonneur,18 ans,29/10/1997,183,114,ESPOIR,ESPOIR,Agen
Jalil NARJISSI,Talonneur,35 ans,18/01/1980,178,94,JIFF,PRO,Agen
Marc BARTHOMEUF,Talonneur,24 ans,19/07/1991,174,100,JIFF,PRO,Agen
Mike TADJER,Talonneur,26 ans,10/03/1989,180,105,JIFF,PRO,Agen
Api NAIKATINI,2ème ligne,30 ans,04/04/1985,197,118,NONJIFF,PRO,Agen
Apisalome RATUNIYARAWA,2ème ligne,29 ans,11/07/1986,198,115,NONJIFF,PRO,Agen
Corentin BRAENDLIN,2ème ligne,21 ans,29/04/1994,198,118,ESPOIR,ESPOIR,Agen
Denis MARCHOIS,2ème ligne,21 ans,05/02/1994,198,108,ESPOIR,ESPOIR,Agen
Jean-Baptiste ROIDOT,2ème ligne,27 ans,09/03/1988,203,97,JIFF,PRO,Agen
Léo BASTIEN,2ème ligne,22 ans,06/05/1993,200,120,ESPOIR,ESPOIR,Agen
Marco KOTZE,2ème ligne,29 ans,25/08/1986,195,118,JOKER,PRO,Agen
Tom MURDAY,2ème ligne,26 ans,27/04/1989,200,114,NONJIFF,PRO,Agen
William DEMOTTE,2ème ligne,24 ans,22/05/1991,202,124,JIFF,PRO,Agen
Antoine ERBANI,3ème ligne,25 ans,07/02/1990,192,100,JIFF,PRO,Agen
Antoine MIQUEL,3ème ligne,21 ans,20/06/1994,192,103,ESPOIR,ESPOIR,Agen
Félicien VERGNON,3ème ligne,20 ans,18/03/1995,190,106,ESPOIR,ESPOIR,Agen
Luke HAMILTON,3ème ligne,23 ans,07/01/1992,190,108,NONJIFF,PRO,Agen
Marc BAGET,3ème ligne,31 ans,05/09/1984,190,117,JIFF,PRO,Agen
Marc GIRAUD,3ème ligne,29 ans,27/02/1986,196,105,JIFF,PRO,Agen
Nicolas GAL,3ème ligne,20 ans,09/07/1995,191,101,ESPOIR,ESPOIR,Agen
Pio MUARUA,3ème ligne,19 ans,28/06/1996,191,110,ESPOIR,ESPOIR,Agen
Rémi VAQUIN,3ème ligne,32 ans,27/07/1983,188,98,JIFF,PRO,Agen
Simon FANALS,3ème ligne,20 ans,14/01/1995,194,104,ESPOIR,ESPOIR,Agen
Sione TAU,3ème ligne,26 ans,21/02/1989,192,105,NONJIFF,PRO,Agen
Alexi BALÈS,Mêlée,25 ans,30/05/1990,174,80,JIFF,PRO,Agen
Baptiste CADIOU,Mêlée,18 ans,17/09/1997,174,78,ESPOIR,ESPOIR,Agen
Clément DARBO,Mêlée,29 ans,13/01/1986,175,72,JIFF,PRO,Agen
Paul ABADIE,Mêlée,21 ans,28/07/1994,176,83,ESPOIR,ESPOIR,Agen
Bautista GUEMES,Ouverture,25 ans,12/05/1990,177,86,NONJIFF,PRO,Agen
Burton FRANCIS,Ouverture,28 ans,02/01/1987,184,90,NONJIFF,PRO,Agen
François BOUVIER,Ouverture,21 ans,29/08/1994,183,82,ESPOIR,ESPOIR,Agen
Jacob BOTICA,Ouverture,22 ans,03/03/1993,177,86,ESPOIR,ESPOIR,Agen
Thibaud MAZZOLENI,Ouverture,18 ans,25/11/1996,178,84,ESPOIR,ESPOIR,Agen
Timothée GUILLIMIN,Ouverture,19 ans,19/02/1996,178,80,ESPOIR,ESPOIR,Agen
Alban CONDUCHÉ,Centre,19 ans,29/10/1996,187,96,ESPOIR,ESPOIR,Agen
Eroni Vasiteri NARUMASA,Centre,26 ans,27/05/1989,183,102,NONJIFF,PRO,Agen
